UPRN,POSTCODE,COUNTRYCODE
10079,AB15 4AE,S
10080,AB15 4AF,S
10081,AB21 0AA,S
10082,AB21 0AB,S
10083,AB21 0AD,S
10084,AB21 0AE,S
10085,AB21 0AF,S
10086,AB24 1AA,S
10087,AB24 1AB,S
10088,AB24 1AD,S
10089,AB24 1AE,S
10090,AB24 1AF,S
10091,AB25 1AA,S
10092,AB25 1AB,S
10093,AB25 1AD,S
10094,AB25 1AE,S
10095,AB25 1AF,S
10096,IV1 1AA,S
10097,IV1 1AB,S
10098,IV1 1AD,S
10099,IV2 3AA,S
10100,IV2 3AB,S
10101,IV2 3AD,S
10102,IV3 5AA,S
10103,IV3 5AB,S
10104,IV3 5AD,S
10105,IV38 6AA,S
10106,IV38 6AB,S
10107,IV38 6AD,S
10108,TD1 1AA,S
10109,TD1 1AB,S
10110,TD1 1AD,S
10111,TD1 2AA,S
10112,TD1 2AB,S
10113,TD1 2AD,S
10114,TD1 3AA,S
10115,TD1 3AB,S
10116,TD1 3AD,S
10117,TD5 7AA,E
10118,TD5 7AB,E
10119,TD5 7AD,E
10120,TD5 7AE,E
10121,TD5 7AF,E
10122,TD5 7AG,E
10123,TD5 7AH,E
10124,TD5 7AJ,E
10125,TD5 7AL,E
10126,TD5 7AN,E
10127,TD5 8AA,S
10128,TD5 8AB,S
10129,TD5 8AD,S
10130,TD5 8AE,S
10131,TD5 8AF,S
10132,TD5 8AG,S
10133,TD5 8AH,S
10134,TD5 8AJ,S
10135,TD5 8AL,S
10136,TD5 8AN,S
10137,DG14 0AA,S
10138,DG14 0AB,S
10139,DG14 0AD,S
10140,DG14 0AE,S
10141,DG14 0AF,S
10142,DG14 0AG,S
10143,DG14 0AH,S
10144,DG14 0AJ,S
10145,DG14 0AL,S
10146,DG14 0AN,S
10147,DG14 5AA,E
10148,DG14 5AB,E
10149,DG14 5AD,E
10150,DG14 5AE,E
10151,DG14 5AF,E
10152,DG14 5AG,E
10153,DG14 5AH,E
10154,DG14 5AJ,E
10155,DG14 5AL,E
10156,DG14 5AN,E
10157,M1 2AA,E
10158,M1 2AB,E
10159,M1 2AD,E
10160,M1 2AE,E
10161,M1 2AF,E
10162,M2 3AA,E
10163,M2 3AB,E
10164,M2 3AD,E
10165,M2 3AE,E
10166,M2 3AF,E
10167,M3 4AA,E
10168,M3 4AB,E
10169,M3 4AD,E
10170,M3 4AE,E
10171,M3 4AF,E
10172,M4 5AA,E
10173,M4 5AB,E
10174,M4 5AD,E
10175,M4 5AE,E
10176,M4 5AF,E
10177,M8 9AA,E
10178,M8 9AB,E
10179,M8 9AD,E
10180,M8 9AE,E
10181,M8 9AF,E
10182,M16 8AA,E
10183,M16 8AB,E
10184,M16 8AD,E
10185,M16 8AE,E
10186,M16 8AF,E
10187,M21 0AA,E
10188,M21 0AB,E
10189,M21 0AD,E
10190,M21 0AE,E
10191,M21 0AF,E
10192,M50 2AA,E
10193,M50 2AB,E
10194,M50 2AD,E
10195,M50 2AE,E
10196,M50 2AF,E
10197,M60 2AA,E
10198,M60 2AB,E
10199,M60 2AD,E
10200,M60 2AE,E
10201,M60 2AF,E
10202,SW1A 2AA,E
10203,SW1A 2AB,E
10204,SW1A 2AD,E
10205,SW1P 1AA,E
10206,SW1P 1AB,E
10207,SW1P 1AD,E
10208,SW1V 1AA,E
10209,SW1V 1AB,E
10210,SW1V 1AD,E
10211,SW6 1AA,E
10212,SW6 1AB,E
10213,SW6 1AD,E
10214,SW7 1AA,E
10215,SW7 1AB,E
10216,SW7 1AD,E
10217,AB10 6AA,S
10218,AB10 6AB,S
10219,AB10 6AD,S
10220,AB10 6AE,S
10221,AB10 6AF,S
10222,AB11 6AA,S
10223,AB11 6AB,S
10224,AB11 6AD,S
10225,AB11 6AE,S
10226,AB11 6AF,S
10227,AB12 4AA,S
10228,AB12 4AB,S
10229,AB12 4AD,S
10230,AB12 4AE,S
10231,AB12 4AF,S
10232,AB15 5AA,S
10233,AB15 5AB,S
10234,AB15 5AD,S
10235,AB15 5AE,S
10236,AB15 5AF,S
10237,AB21 7AA,S
10238,AB21 7AB,S
10239,AB21 7AD,S
10240,AB21 7AE,S
10241,AB21 7AF,S
10242,AB24 2AA,S
10243,AB24 2AB,S
10244,AB24 2AD,S
10245,AB24 2AE,S
10246,AB24 2AF,S
10247,AB25 2AA,S
10248,AB25 2AB,S
10249,AB25 2AD,S
10250,AB25 2AE,S
10251,AB25 2AF,S
